151,QAT,Qatar,1990,34,2 to 4 yrs,2,4,1,male,pct,obese,prevalence,0.216,0.148,0.3
151,QAT,Qatar,1990,34,2 to 4 yrs,2,4,1,male,pct,overweight,prevalence,0.395,0.302,0.491
151,QAT,Qatar,1990,36,2 to 19 yrs - age-standardized,2,19,1,male,pct,obese,prevalence,0.198,0.165,0.236
151,QAT,Qatar,1990,36,2 to 19 yrs - age-standardized,2,19,1,male,pct,overweight,prevalence,0.355,0.309,0.402
151,QAT,Qatar,1990,6,5 to 9 yrs,5,9,1,male,pct,overweight,prevalence,0.332,0.245,0.42
151,QAT,Qatar,1990,6,5 to 9 yrs,5,9,1,male,pct,obese,prevalence,0.203,0.138,0.284
151,QAT,Qatar,1990,7,10 to 14 yrs,10,14,1,male,pct,overweight,prevalence,0.387,0.294,0.488
151,QAT,Qatar,1990,7,10 to 14 yrs,10,14,1,male,pct,obese,prevalence,0.197,0.135,0.271
151,QAT,Qatar,1990,8,15 to 19 yrs,15,19,1,male,pct,obese,prevalence,0.18,0.123,0.252
151,QAT,Qatar,1990,8,15 to 19 yrs,15,19,1,male,pct,overweight,prevalence,0.311,0.227,0.403
151,QAT,Qatar,1990,9,20 to 24 yrs,20,24,1,male,pct,overweight,prevalence,0.493,0.393,0.592
151,QAT,Qatar,1990,9,20 to 24 yrs,20,24,1,male,pct,obese,prevalence,0.262,0.184,0.351
151,QAT,Qatar,1990,38,20+ yrs - age-standardized,20,100,1,male,pct,obese,prevalence,0.433,0.403,0.463
151,QAT,Qatar,1990,38,20+ yrs - age-standardized,20,100,1,male,pct,overweight,prevalence,0.749,0.727,0.772
151,QAT,Qatar,1990,10,25 to 29 yrs,25,29,1,male,pct,obese,prevalence,0.338,0.244,0.44
151,QAT,Qatar,1990,10,25 to 29 yrs,25,29,1,male,pct,overweight,prevalence,0.669,0.574,0.76
151,QAT,Qatar,1990,11,30 to 34 yrs,30,34,1,male,pct,overweight,prevalence,0.8,0.732,0.86
151,QAT,Qatar,1990,11,30 to 34 yrs,30,34,1,male,pct,obese,prevalence,0.377,0.282,0.475
151,QAT,Qatar,1990,12,35 to 39 yrs,35,39,1,male,pct,overweight,prevalence,0.901,0.858,0.935
151,QAT,Qatar,1990,12,35 to 39 yrs,35,39,1,male,pct,obese,prevalence,0.424,0.322,0.541
151,QAT,Qatar,1990,13,40 to 44 yrs,40,44,1,male,pct,overweight,prevalence,0.903,0.865,0.934
151,QAT,Qatar,1990,13,40 to 44 yrs,40,44,1,male,pct,obese,prevalence,0.472,0.365,0.581
151,QAT,Qatar,1990,14,45 to 49 yrs,45,49,1,male,pct,overweight,prevalence,0.821,0.751,0.877
151,QAT,Qatar,1990,14,45 to 49 yrs,45,49,1,male,pct,obese,prevalence,0.492,0.391,0.599
151,QAT,Qatar,1990,15,50 to 54 yrs,50,54,1,male,pct,obese,prevalence,0.523,0.417,0.632
151,QAT,Qatar,1990,15,50 to 54 yrs,50,54,1,male,pct,overweight,prevalence,0.756,0.675,0.827
151,QAT,Qatar,1990,16,55 to 59 yrs,55,59,1,male,pct,obese,prevalence,0.546,0.432,0.651
151,QAT,Qatar,1990,16,55 to 59 yrs,55,59,1,male,pct,overweight,prevalence,0.763,0.685,0.825
151,QAT,Qatar,1990,17,60 to 64 yrs,60,64,1,male,pct,overweight,prevalence,0.764,0.681,0.833
151,QAT,Qatar,1990,17,60 to 64 yrs,60,64,1,male,pct,obese,prevalence,0.55,0.451,0.656
